train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date,trade_profit,trade_cost,trade_return,strike_key,call_exit_premium,put_exit_premium
2023-01 -> 2023-03,2023-04,AAPL,2023-04-03,2023-04-13,2023-05-05,165.0,-0.1499999999999998,-0.1136985655105283,0.2123364588825427,0.0084934583553017,short,-1,11.0,9.35,2023-04-03,1.6499999999999986,11.0,0.1499999999999998,165.0,5.175000000000001,4.175000000000001
2023-01 -> 2023-03,2023-04,PLTR,2023-04-03,2023-04-13,2023-05-05,8.5,-0.187214611872146,-0.0136053844547349,0.2123364588825427,0.0084934583553017,short,-1,1.095,0.89,2023-04-03,0.2049999999999999,1.095,0.187214611872146,8.5,0.505,0.385
2023-01 -> 2023-03,2023-04,AMZN,2023-04-03,2023-04-13,2023-05-05,102.0,-0.1068883610451306,-0.1340774467835965,0.2123364588825427,0.0084934583553017,short,-1,10.525,9.4,2023-04-03,1.125,10.525,0.1068883610451306,102.0,5.0,4.4
2023-01 -> 2023-03,2023-04,TSLA,2023-04-03,2023-04-13,2023-05-05,195.0,-0.1469026548672566,-0.1062886396841201,0.2123364588825427,0.0084934583553017,short,-1,28.25,24.1,2023-04-03,4.149999999999999,28.25,0.1469026548672566,195.0,7.675,16.425
2023-01 -> 2023-03,2023-04,AAPL,2023-04-04,2023-04-14,2023-05-05,165.0,-0.1977272727272727,-0.0536259164920044,0.2123364588825427,0.0084934583553017,short,-1,11.0,8.825,2023-04-04,2.1750000000000007,11.0,0.1977272727272727,165.0,4.725,4.1
2023-01 -> 2023-03,2023-04,NIO,2023-04-04,2023-04-14,2023-05-05,9.0,-0.2653061224489795,-0.1276722092344074,0.2123364588825427,0.0084934583553017,short,-1,1.47,1.08,2023-04-04,0.3899999999999999,1.47,0.2653061224489795,9.0,0.6799999999999999,0.4
2023-01 -> 2023-03,2023-04,MARA,2023-04-04,2023-04-14,2023-05-05,8.5,0.667364016736402,-0.0271129659439814,0.2123364588825427,0.0084934583553017,short,-1,2.3899999999999997,3.985,2023-04-04,-1.5950000000000006,2.3899999999999997,-0.667364016736402,8.5,3.7,0.28500000000000003
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-04,2023-04-14,2023-05-05,105.0,-0.0344262295081966,-0.096875293041892,0.2123364588825427,0.0084934583553017,short,-1,9.15,8.835,2023-04-04,0.3149999999999995,9.15,0.0344262295081966,105.0,6.525,2.3099999999999996
2023-01 -> 2023-03,2023-04,SOFI,2023-04-04,2023-04-14,2023-05-05,6.0,0.034090909090909,-0.0583003722063634,0.2123364588825427,0.0084934583553017,short,-1,0.88,0.91,2023-04-04,-0.0299999999999999,0.88,-0.034090909090909,6.0,0.42,0.49
2023-01 -> 2023-03,2023-04,TSLA,2023-04-04,2023-04-14,2023-05-05,192.5,-0.1953612845673505,-0.0543518075696998,0.2123364588825427,0.0084934583553017,short,-1,28.025,22.55,2023-04-04,5.474999999999998,28.025,0.1953612845673505,192.5,7.775,14.775
2023-01 -> 2023-03,2023-04,MARA,2023-04-05,2023-04-17,2023-05-05,8.0,0.6523605150214592,-0.0808636056550721,0.2123364588825427,0.0084934583553017,short,-1,2.33,3.85,2023-04-05,-1.52,2.33,-0.6523605150214592,8.0,3.65,0.2
2023-01 -> 2023-03,2023-04,NIO,2023-04-05,2023-04-17,2023-05-05,9.0,-0.0912408759124086,-0.1727379108096998,0.2123364588825427,0.0084934583553017,short,-1,1.37,1.245,2023-04-05,0.125,1.37,0.0912408759124087,9.0,1.03,0.21500000000000002
2023-01 -> 2023-03,2023-04,NVDA,2023-04-05,2023-04-17,2023-05-05,27.0,-0.2811355311355311,-0.0343905576709148,0.2123364588825427,0.0084934583553017,short,-1,27.299999999999997,19.625,2023-04-05,7.674999999999997,27.299999999999997,0.2811355311355311,27.0,,
2023-01 -> 2023-03,2023-04,PLTR,2023-04-05,2023-04-17,2023-05-05,8.0,-0.0361990950226244,-0.1498633700824794,0.2123364588825427,0.0084934583553017,short,-1,1.105,1.065,2023-04-05,0.04,1.105,0.0361990950226244,8.0,0.9450000000000001,0.12
2023-01 -> 2023-03,2023-04,MSFT,2023-04-05,2023-04-17,2023-05-05,285.0,-0.150259067357513,-0.0216856935506381,0.2123364588825427,0.0084934583553017,short,-1,19.3,16.4,2023-04-05,2.900000000000002,19.3,0.150259067357513,285.0,10.3,6.1
2023-01 -> 2023-03,2023-04,AAPL,2023-04-05,2023-04-17,2023-05-05,165.0,-0.2056074766355139,-0.0652541158464083,0.2123364588825427,0.0084934583553017,short,-1,10.7,8.5,2023-04-05,2.1999999999999993,10.7,0.2056074766355139,165.0,4.55,3.95
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-06,2023-04-18,2023-05-05,108.0,-0.1415549597855228,-0.0555338491257888,0.2123364588825427,0.0084934583553017,short,-1,9.325,8.004999999999999,2023-04-06,1.3200000000000005,9.325,0.1415549597855228,108.0,2.3049999999999997,5.7
2023-01 -> 2023-03,2023-04,SOFI,2023-04-06,2023-04-18,2023-05-05,5.5,-0.0210526315789473,0.2283033570359344,0.2123364588825427,0.0084934583553017,long,1,0.95,0.93,2023-04-06,-0.02,0.95,-0.0210526315789473,5.5,0.715,0.215
2023-01 -> 2023-03,2023-04,TSLA,2023-04-06,2023-04-18,2023-05-05,185.0,-0.2113502935420743,-0.0925730091978059,0.2123364588825427,0.0084934583553017,short,-1,25.549999999999997,20.15,2023-04-06,5.399999999999999,25.549999999999997,0.2113502935420743,185.0,10.125,10.024999999999999
2023-01 -> 2023-03,2023-04,NIO,2023-04-06,2023-04-18,2023-05-05,9.0,-0.2038461538461537,-0.1932708563823724,0.2123364588825427,0.0084934583553017,short,-1,1.3,1.035,2023-04-06,0.2649999999999999,1.3,0.2038461538461537,9.0,0.775,0.26
2023-01 -> 2023-03,2023-04,MARA,2023-04-06,2023-04-18,2023-05-05,8.0,0.8744075829383889,-0.0908386763510915,0.2123364588825427,0.0084934583553017,short,-1,2.11,3.955000000000001,2023-04-06,-1.8450000000000009,2.11,-0.8744075829383889,8.0,3.7750000000000004,0.18
2023-01 -> 2023-03,2023-04,AAPL,2023-04-06,2023-04-18,2023-05-05,165.0,-0.1903614457831326,-0.2371665308050058,0.2123364588825427,0.0084934583553017,short,-1,10.375,8.399999999999999,2023-04-06,1.9750000000000016,10.375,0.1903614457831326,165.0,5.225,3.175
2023-01 -> 2023-03,2023-04,AAPL,2023-04-10,2023-04-19,2023-05-12,162.5,-0.0675555555555555,-0.045709821551622,0.2123364588825427,0.0084934583553017,short,-1,11.25,10.49,2023-04-10,0.7599999999999998,11.25,0.0675555555555555,162.5,8.0,2.49
2023-01 -> 2023-03,2023-04,NIO,2023-04-10,2023-04-19,2023-05-12,9.0,-0.2062937062937063,-0.0645761635112725,0.2123364588825427,0.0084934583553017,short,-1,1.4300000000000002,1.135,2023-04-10,0.2950000000000001,1.4300000000000002,0.2062937062937063,9.0,0.485,0.65
2023-01 -> 2023-03,2023-04,AMZN,2023-04-11,2023-04-20,2023-05-12,100.0,-0.0660287081339712,-0.0629141752423468,0.2123364588825427,0.0084934583553017,short,-1,10.45,9.76,2023-04-11,0.6899999999999995,10.45,0.0660287081339712,100.0,6.925,2.835
2023-01 -> 2023-03,2023-04,AAPL,2023-04-11,2023-04-20,2023-05-12,160.0,0.0013452914798205,-0.0591747854514589,0.2123364588825427,0.0084934583553017,short,-1,11.15,11.165,2023-04-11,-0.0149999999999987,11.15,-0.0013452914798205,160.0,9.0,2.165
2023-01 -> 2023-03,2023-04,NIO,2023-04-11,2023-04-20,2023-05-12,9.5,0.0774410774410775,-0.1594172022154975,0.2123364588825427,0.0084934583553017,short,-1,1.485,1.6,2023-04-11,-0.1149999999999999,1.485,-0.0774410774410774,9.5,0.21000000000000002,1.3900000000000001
2023-01 -> 2023-03,2023-04,SOFI,2023-04-11,2023-04-20,2023-05-12,6.0,-0.0990099009900991,0.2483924574701879,0.2123364588825427,0.0084934583553017,long,1,1.01,0.91,2023-04-11,-0.1,1.01,-0.0990099009900991,6.0,0.43,0.48
2023-01 -> 2023-03,2023-04,MARA,2023-04-11,2023-04-20,2023-05-12,10.0,-0.1914191419141914,-0.215906907963755,0.2123364588825427,0.0084934583553017,short,-1,3.03,2.45,2023-04-11,0.5799999999999996,3.03,0.1914191419141913,10.0,0.9550000000000001,1.495
2023-01 -> 2023-03,2023-04,AAPL,2023-04-12,2023-04-21,2023-05-12,160.0,-0.0454756380510439,-0.0558052781788181,0.2123364588825427,0.0084934583553017,short,-1,10.775,10.285,2023-04-12,0.4900000000000002,10.775,0.0454756380510441,160.0,7.825,2.46
2023-01 -> 2023-03,2023-04,INTC,2023-04-12,2023-04-21,2023-05-12,32.0,-0.0636942675159236,-0.0404058812968449,0.2123364588825427,0.0084934583553017,short,-1,3.14,2.94,2023-04-12,0.2000000000000001,3.14,0.0636942675159236,32.0,0.59,2.35
2023-01 -> 2023-03,2023-04,MSFT,2023-04-12,2023-04-21,2023-05-12,285.0,-0.176923076923077,-0.0478321986524658,0.2123364588825427,0.0084934583553017,short,-1,19.5,16.049999999999997,2023-04-12,3.450000000000003,19.5,0.176923076923077,285.0,8.774999999999999,7.275
2023-01 -> 2023-03,2023-04,TSLA,2023-04-12,2023-04-21,2023-05-12,180.0,-0.2590693257359924,-0.0656083541354549,0.2123364588825427,0.0084934583553017,short,-1,26.325,19.505,2023-04-12,6.82,26.325,0.2590693257359924,180.0,2.48,17.025
2023-01 -> 2023-03,2023-04,AAPL,2023-04-13,2023-04-24,2023-05-12,165.0,-0.1666666666666667,-0.1009275142429056,0.2123364588825427,0.0084934583553017,short,-1,10.35,8.625,2023-04-13,1.7249999999999996,10.35,0.1666666666666666,165.0,4.574999999999999,4.05
2023-01 -> 2023-03,2023-04,AMD,2023-04-13,2023-04-24,2023-05-12,92.0,-0.1604819277108433,0.2494906416456513,0.2123364588825427,0.0084934583553017,long,1,10.375,8.71,2023-04-13,-1.6649999999999991,10.375,-0.1604819277108433,92.0,2.2350000000000003,6.475
2023-01 -> 2023-03,2023-04,MSFT,2023-04-13,2023-04-24,2023-05-12,290.0,-0.099866844207723,-0.1491128420804445,0.2123364588825427,0.0084934583553017,short,-1,18.775,16.9,2023-04-13,1.875,18.775,0.099866844207723,290.0,4.6,12.3
2023-01 -> 2023-03,2023-04,SOFI,2023-04-14,2023-04-25,2023-05-19,6.0,-0.1047619047619048,-0.1153578093408022,0.2123364588825427,0.0084934583553017,short,-1,1.05,0.94,2023-04-14,0.1100000000000001,1.05,0.1047619047619048,6.0,0.36,0.58
2023-01 -> 2023-03,2023-04,NIO,2023-04-14,2023-04-25,2023-05-12,9.5,0.3295880149812734,-0.124578236075063,0.2123364588825427,0.0084934583553017,short,-1,1.335,1.775,2023-04-14,-0.4399999999999999,1.335,-0.3295880149812734,9.5,0.095,1.68
2023-01 -> 2023-03,2023-04,NIO,2023-04-14,2023-04-25,2023-05-19,10.0,0.3927492447129914,-0.1868380667741138,0.2123364588825427,0.0084934583553017,short,-1,1.6549999999999998,2.3050000000000006,2023-04-14,-0.6500000000000008,1.6549999999999998,-0.3927492447129914,10.0,0.11499999999999999,2.1900000000000004
2023-01 -> 2023-03,2023-04,AMZN,2023-04-14,2023-04-25,2023-05-12,103.0,-0.0485933503836316,-0.0695935858591197,0.2123364588825427,0.0084934583553017,short,-1,9.775,9.3,2023-04-14,0.4749999999999996,9.775,0.0485933503836316,103.0,4.6,4.7
2023-01 -> 2023-03,2023-04,TSLA,2023-04-14,2023-04-25,2023-05-19,185.0,0.0035714285714285,-0.094460748052391,0.2123364588825427,0.0084934583553017,short,-1,26.6,26.695,2023-04-14,-0.0949999999999988,26.6,-0.0035714285714285,185.0,1.395,25.3
2023-01 -> 2023-03,2023-04,MARA,2023-04-14,2023-04-25,2023-05-19,12.0,-0.008974358974359,-0.1396936110146622,0.2123364588825427,0.0084934583553017,short,-1,3.9,3.865,2023-04-14,0.0349999999999997,3.9,0.0089743589743588,12.0,0.41500000000000004,3.45
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-14,2023-04-25,2023-05-19,110.0,-0.0178378378378377,-0.1311772470032513,0.2123364588825427,0.0084934583553017,short,-1,9.25,9.085,2023-04-14,0.1649999999999991,9.25,0.0178378378378377,110.0,1.685,7.4
2023-01 -> 2023-03,2023-04,SOFI,2023-04-14,2023-04-25,2023-05-12,6.0,-0.0837696335078534,-0.111022038354381,0.2123364588825427,0.0084934583553017,short,-1,0.955,0.875,2023-04-14,0.0799999999999999,0.955,0.0837696335078533,6.0,0.325,0.55
2023-01 -> 2023-03,2023-04,NFLX,2023-04-14,2023-04-25,2023-05-19,340.0,-0.3487241798298907,-0.0569698919098298,0.2123364588825427,0.0084934583553017,short,-1,41.15,26.799999999999997,2023-04-14,14.35,41.15,0.3487241798298907,340.0,4.775,22.025
2023-01 -> 2023-03,2023-04,INTC,2023-04-14,2023-04-25,2023-05-12,32.0,0.2517123287671234,-0.0446555110280788,0.2123364588825427,0.0084934583553017,short,-1,2.92,3.655,2023-04-14,-0.7350000000000003,2.92,-0.2517123287671234,32.0,0.255,3.4000000000000004
2023-01 -> 2023-03,2023-04,AAPL,2023-04-14,2023-04-25,2023-05-12,165.0,-0.0862944162436547,-0.082471455811254,0.2123364588825427,0.0084934583553017,short,-1,9.85,9.0,2023-04-14,0.8499999999999996,9.85,0.0862944162436547,165.0,4.05,4.95
2023-01 -> 2023-03,2023-04,AAPL,2023-04-14,2023-04-25,2023-05-19,165.0,-0.0687203791469195,-0.1336380384888098,0.2123364588825427,0.0084934583553017,short,-1,10.55,9.825,2023-04-14,0.7250000000000014,10.55,0.0687203791469195,165.0,4.5,5.324999999999999
2023-01 -> 2023-03,2023-04,PLTR,2023-04-14,2023-04-25,2023-05-19,9.0,0.0947368421052631,-0.0868184494087704,0.2123364588825427,0.0084934583553017,short,-1,1.425,1.56,2023-04-14,-0.135,1.425,-0.0947368421052631,9.0,0.165,1.395
2023-01 -> 2023-03,2023-04,BABA,2023-04-14,2023-04-25,2023-05-19,95.0,0.3187192118226603,-0.145243040434786,0.2123364588825427,0.0084934583553017,short,-1,10.15,13.385,2023-04-14,-3.234999999999999,10.15,-0.31871921182266,95.0,0.7849999999999999,12.6
2023-01 -> 2023-03,2023-04,MSFT,2023-04-14,2023-04-25,2023-05-12,285.0,-0.0226628895184137,-0.1272750380688075,0.2123364588825427,0.0084934583553017,short,-1,17.650000000000002,17.25,2023-04-14,0.4000000000000021,17.650000000000002,0.0226628895184137,285.0,4.550000000000001,12.7
2023-01 -> 2023-03,2023-04,TSLA,2023-04-14,2023-04-25,2023-05-12,185.0,0.0365503080082137,-0.0282740421012995,0.2123364588825427,0.0084934583553017,short,-1,24.35,25.24,2023-04-14,-0.8900000000000006,24.35,-0.0365503080082135,185.0,0.815,24.425
2023-01 -> 2023-03,2023-04,COIN,2023-04-14,2023-04-25,2023-05-19,70.0,-0.0073550212164072,-0.2178485725889158,0.2123364588825427,0.0084934583553017,short,-1,17.675,17.545,2023-04-14,0.129999999999999,17.675,0.0073550212164072,70.0,1.57,15.975000000000001
