train_period,val_period,ticker,date,exit_date,exdate,strike,r_long,r_hat,delta_long,delta_short,signal,signal_num,entry_premium,exit_premium,entry_date
2023-01 -> 2023-03,2023-04,AAPL,2023-04-03,2023-04-13,2023-05-05,165.0,-0.1499999999999998,-0.11369856551052838,0.2123364588825427,0.008493458355301709,short,-1,11.0,9.350000000000001,2023-04-03
2023-01 -> 2023-03,2023-04,PLTR,2023-04-03,2023-04-13,2023-05-05,8.5,-0.187214611872146,-0.013605384454734965,0.2123364588825427,0.008493458355301709,short,-1,1.095,0.89,2023-04-03
2023-01 -> 2023-03,2023-04,AMZN,2023-04-03,2023-04-13,2023-05-05,102.0,-0.1068883610451306,-0.13407744678359657,0.2123364588825427,0.008493458355301709,short,-1,10.525,9.4,2023-04-03
2023-01 -> 2023-03,2023-04,TSLA,2023-04-03,2023-04-13,2023-05-05,195.0,-0.1469026548672566,-0.10628863968412013,0.2123364588825427,0.008493458355301709,short,-1,28.25,24.1,2023-04-03
2023-01 -> 2023-03,2023-04,AAPL,2023-04-04,2023-04-14,2023-05-05,165.0,-0.1977272727272727,-0.05362591649200448,0.2123364588825427,0.008493458355301709,short,-1,11.0,8.825,2023-04-04
2023-01 -> 2023-03,2023-04,NIO,2023-04-04,2023-04-14,2023-05-05,9.0,-0.2653061224489795,-0.1276722092344074,0.2123364588825427,0.008493458355301709,short,-1,1.47,1.08,2023-04-04
2023-01 -> 2023-03,2023-04,MARA,2023-04-04,2023-04-14,2023-05-05,8.5,0.667364016736402,-0.027112965943981444,0.2123364588825427,0.008493458355301709,short,-1,2.3899999999999997,3.9850000000000003,2023-04-04
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-04,2023-04-14,2023-05-05,105.0,-0.0344262295081966,-0.09687529304189202,0.2123364588825427,0.008493458355301709,short,-1,9.15,8.835,2023-04-04
2023-01 -> 2023-03,2023-04,SOFI,2023-04-04,2023-04-14,2023-05-05,6.0,0.034090909090909,-0.05830037220636346,0.2123364588825427,0.008493458355301709,short,-1,0.88,0.9099999999999999,2023-04-04
2023-01 -> 2023-03,2023-04,TSLA,2023-04-04,2023-04-14,2023-05-05,192.5,-0.1953612845673505,-0.05435180756969982,0.2123364588825427,0.008493458355301709,short,-1,28.025,22.55,2023-04-04
2023-01 -> 2023-03,2023-04,MARA,2023-04-05,2023-04-17,2023-05-05,8.0,0.6523605150214592,-0.08086360565507217,0.2123364588825427,0.008493458355301709,short,-1,2.33,3.85,2023-04-05
2023-01 -> 2023-03,2023-04,NIO,2023-04-05,2023-04-17,2023-05-05,9.0,-0.0912408759124086,-0.17273791080969983,0.2123364588825427,0.008493458355301709,short,-1,1.37,1.245,2023-04-05
2023-01 -> 2023-03,2023-04,NVDA,2023-04-05,2023-04-17,2023-05-05,27.0,-0.2811355311355311,-0.034390557670914895,0.2123364588825427,0.008493458355301709,short,-1,27.299999999999997,19.625,2023-04-05
2023-01 -> 2023-03,2023-04,PLTR,2023-04-05,2023-04-17,2023-05-05,8.0,-0.0361990950226244,-0.14986337008247946,0.2123364588825427,0.008493458355301709,short,-1,1.105,1.065,2023-04-05
2023-01 -> 2023-03,2023-04,MSFT,2023-04-05,2023-04-17,2023-05-05,285.0,-0.150259067357513,-0.021685693550638166,0.2123364588825427,0.008493458355301709,short,-1,19.3,16.4,2023-04-05
2023-01 -> 2023-03,2023-04,AAPL,2023-04-05,2023-04-17,2023-05-05,165.0,-0.2056074766355139,-0.06525411584640832,0.2123364588825427,0.008493458355301709,short,-1,10.7,8.5,2023-04-05
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-06,2023-04-18,2023-05-05,108.0,-0.1415549597855228,-0.0555338491257888,0.2123364588825427,0.008493458355301709,short,-1,9.325,8.004999999999999,2023-04-06
2023-01 -> 2023-03,2023-04,SOFI,2023-04-06,2023-04-18,2023-05-05,5.5,-0.0210526315789473,0.2283033570359344,0.2123364588825427,0.008493458355301709,long,1,0.95,0.9299999999999999,2023-04-06
2023-01 -> 2023-03,2023-04,TSLA,2023-04-06,2023-04-18,2023-05-05,185.0,-0.2113502935420743,-0.09257300919780594,0.2123364588825427,0.008493458355301709,short,-1,25.549999999999997,20.15,2023-04-06
2023-01 -> 2023-03,2023-04,NIO,2023-04-06,2023-04-18,2023-05-05,9.0,-0.2038461538461537,-0.19327085638237243,0.2123364588825427,0.008493458355301709,short,-1,1.3,1.0350000000000001,2023-04-06
2023-01 -> 2023-03,2023-04,MARA,2023-04-06,2023-04-18,2023-05-05,8.0,0.8744075829383889,-0.09083867635109155,0.2123364588825427,0.008493458355301709,short,-1,2.11,3.9550000000000005,2023-04-06
2023-01 -> 2023-03,2023-04,AAPL,2023-04-06,2023-04-18,2023-05-05,165.0,-0.1903614457831326,-0.2371665308050058,0.2123364588825427,0.008493458355301709,short,-1,10.375,8.399999999999999,2023-04-06
2023-01 -> 2023-03,2023-04,AAPL,2023-04-10,2023-04-19,2023-05-12,162.5,-0.0675555555555555,-0.045709821551622024,0.2123364588825427,0.008493458355301709,short,-1,11.25,10.49,2023-04-10
2023-01 -> 2023-03,2023-04,NIO,2023-04-10,2023-04-19,2023-05-12,9.0,-0.2062937062937063,-0.06457616351127254,0.2123364588825427,0.008493458355301709,short,-1,1.4300000000000002,1.135,2023-04-10
2023-01 -> 2023-03,2023-04,AMZN,2023-04-11,2023-04-20,2023-05-12,100.0,-0.0660287081339712,-0.06291417524234687,0.2123364588825427,0.008493458355301709,short,-1,10.45,9.76,2023-04-11
2023-01 -> 2023-03,2023-04,AAPL,2023-04-11,2023-04-20,2023-05-12,160.0,0.0013452914798205,-0.05917478545145899,0.2123364588825427,0.008493458355301709,short,-1,11.15,11.165,2023-04-11
2023-01 -> 2023-03,2023-04,NIO,2023-04-11,2023-04-20,2023-05-12,9.5,0.0774410774410775,-0.1594172022154975,0.2123364588825427,0.008493458355301709,short,-1,1.485,1.6,2023-04-11
2023-01 -> 2023-03,2023-04,SOFI,2023-04-11,2023-04-20,2023-05-12,6.0,-0.0990099009900991,0.2483924574701879,0.2123364588825427,0.008493458355301709,long,1,1.01,0.9099999999999999,2023-04-11
2023-01 -> 2023-03,2023-04,MARA,2023-04-11,2023-04-20,2023-05-12,10.0,-0.1914191419141914,-0.21590690796375503,0.2123364588825427,0.008493458355301709,short,-1,3.03,2.45,2023-04-11
2023-01 -> 2023-03,2023-04,AAPL,2023-04-12,2023-04-21,2023-05-12,160.0,-0.0454756380510439,-0.05580527817881818,0.2123364588825427,0.008493458355301709,short,-1,10.775,10.285,2023-04-12
2023-01 -> 2023-03,2023-04,INTC,2023-04-12,2023-04-21,2023-05-12,32.0,-0.0636942675159236,-0.04040588129684498,0.2123364588825427,0.008493458355301709,short,-1,3.14,2.94,2023-04-12
2023-01 -> 2023-03,2023-04,MSFT,2023-04-12,2023-04-21,2023-05-12,285.0,-0.176923076923077,-0.04783219865246582,0.2123364588825427,0.008493458355301709,short,-1,19.5,16.049999999999997,2023-04-12
2023-01 -> 2023-03,2023-04,TSLA,2023-04-12,2023-04-21,2023-05-12,180.0,-0.2590693257359924,-0.06560835413545499,0.2123364588825427,0.008493458355301709,short,-1,26.325,19.505,2023-04-12
2023-01 -> 2023-03,2023-04,AAPL,2023-04-13,2023-04-24,2023-05-12,165.0,-0.1666666666666667,-0.10092751424290568,0.2123364588825427,0.008493458355301709,short,-1,10.35,8.625,2023-04-13
2023-01 -> 2023-03,2023-04,AMD,2023-04-13,2023-04-24,2023-05-12,92.0,-0.1604819277108433,0.24949064164565135,0.2123364588825427,0.008493458355301709,long,1,10.375,8.71,2023-04-13
2023-01 -> 2023-03,2023-04,MSFT,2023-04-13,2023-04-24,2023-05-12,290.0,-0.099866844207723,-0.14911284208044456,0.2123364588825427,0.008493458355301709,short,-1,18.775,16.9,2023-04-13
2023-01 -> 2023-03,2023-04,SOFI,2023-04-14,2023-04-25,2023-05-19,6.0,-0.1047619047619048,-0.11535780934080221,0.2123364588825427,0.008493458355301709,short,-1,1.05,0.94,2023-04-14
2023-01 -> 2023-03,2023-04,NIO,2023-04-14,2023-04-25,2023-05-12,9.5,0.3295880149812734,-0.12457823607506308,0.2123364588825427,0.008493458355301709,short,-1,1.335,1.775,2023-04-14
2023-01 -> 2023-03,2023-04,NIO,2023-04-14,2023-04-25,2023-05-19,10.0,0.3927492447129914,-0.1868380667741138,0.2123364588825427,0.008493458355301709,short,-1,1.6549999999999998,2.3050000000000006,2023-04-14
2023-01 -> 2023-03,2023-04,AMZN,2023-04-14,2023-04-25,2023-05-12,103.0,-0.0485933503836316,-0.06959358585911973,0.2123364588825427,0.008493458355301709,short,-1,9.775,9.3,2023-04-14
2023-01 -> 2023-03,2023-04,TSLA,2023-04-14,2023-04-25,2023-05-19,185.0,0.0035714285714285,-0.09446074805239109,0.2123364588825427,0.008493458355301709,short,-1,26.6,26.695,2023-04-14
2023-01 -> 2023-03,2023-04,MARA,2023-04-14,2023-04-25,2023-05-19,12.0,-0.008974358974359,-0.13969361101466227,0.2123364588825427,0.008493458355301709,short,-1,3.9,3.865,2023-04-14
2023-01 -> 2023-03,2023-04,GOOGL,2023-04-14,2023-04-25,2023-05-19,110.0,-0.0178378378378377,-0.13117724700325137,0.2123364588825427,0.008493458355301709,short,-1,9.25,9.085,2023-04-14
2023-01 -> 2023-03,2023-04,SOFI,2023-04-14,2023-04-25,2023-05-12,6.0,-0.0837696335078534,-0.11102203835438107,0.2123364588825427,0.008493458355301709,short,-1,0.955,0.875,2023-04-14
2023-01 -> 2023-03,2023-04,NFLX,2023-04-14,2023-04-25,2023-05-19,340.0,-0.3487241798298907,-0.056969891909829894,0.2123364588825427,0.008493458355301709,short,-1,41.15,26.799999999999997,2023-04-14
2023-01 -> 2023-03,2023-04,INTC,2023-04-14,2023-04-25,2023-05-12,32.0,0.2517123287671234,-0.04465551102807881,0.2123364588825427,0.008493458355301709,short,-1,2.92,3.6550000000000002,2023-04-14
2023-01 -> 2023-03,2023-04,AAPL,2023-04-14,2023-04-25,2023-05-12,165.0,-0.0862944162436547,-0.08247145581125401,0.2123364588825427,0.008493458355301709,short,-1,9.85,9.0,2023-04-14
2023-01 -> 2023-03,2023-04,AAPL,2023-04-14,2023-04-25,2023-05-19,165.0,-0.0687203791469195,-0.13363803848880987,0.2123364588825427,0.008493458355301709,short,-1,10.55,9.825,2023-04-14
2023-01 -> 2023-03,2023-04,PLTR,2023-04-14,2023-04-25,2023-05-19,9.0,0.0947368421052631,-0.08681844940877041,0.2123364588825427,0.008493458355301709,short,-1,1.425,1.56,2023-04-14
2023-01 -> 2023-03,2023-04,BABA,2023-04-14,2023-04-25,2023-05-19,95.0,0.3187192118226603,-0.14524304043478606,0.2123364588825427,0.008493458355301709,short,-1,10.15,13.385,2023-04-14
2023-01 -> 2023-03,2023-04,MSFT,2023-04-14,2023-04-25,2023-05-12,285.0,-0.0226628895184137,-0.1272750380688075,0.2123364588825427,0.008493458355301709,short,-1,17.650000000000002,17.25,2023-04-14
2023-01 -> 2023-03,2023-04,TSLA,2023-04-14,2023-04-25,2023-05-12,185.0,0.0365503080082137,-0.02827404210129954,0.2123364588825427,0.008493458355301709,short,-1,24.35,25.240000000000002,2023-04-14
2023-01 -> 2023-03,2023-04,COIN,2023-04-14,2023-04-25,2023-05-19,70.0,-0.0073550212164072,-0.21784857258891582,0.2123364588825427,0.008493458355301709,short,-1,17.675,17.545,2023-04-14
2023-01 -> 2023-03,2023-04,RIVN,2023-04-14,2023-04-25,2023-05-19,12.5,-0.207142857142857,-0.009761830557481048,0.2123364588825427,0.008493458355301709,short,-1,2.8,2.22,2023-04-14
2023-01 -> 2023-03,2023-04,AMD,2023-04-14,2023-04-25,2023-05-19,90.0,-0.0639269406392693,0.41306640209353973,0.2123364588825427,0.008493458355301709,long,1,10.95,10.25,2023-04-14
2023-01 -> 2023-03,2023-04,AMZN,2023-04-14,2023-04-25,2023-05-19,105.0,-0.0358851674641148,-0.1347388151657119,0.2123364588825427,0.008493458355301709,short,-1,10.45,10.075,2023-04-14
2023-01 -> 2023-03,2023-04,SOFI,2023-04-17,2023-04-26,2023-05-19,6.0,-0.0547263681592039,-0.05572717084145282,0.2123364588825427,0.008493458355301709,short,-1,1.005,0.95,2023-04-17
2023-01 -> 2023-03,2023-04,AMZN,2023-04-17,2023-04-26,2023-05-19,105.0,0.004950495049505,-0.1499848057390695,0.2123364588825427,0.008493458355301709,short,-1,10.1,10.15,2023-04-17
2023-01 -> 2023-03,2023-04,NFLX,2023-04-17,2023-04-26,2023-05-19,335.0,-0.4096310193871168,0.25326370766169143,0.2123364588825427,0.008493458355301709,long,1,39.974999999999994,23.6,2023-04-17
2023-01 -> 2023-03,2023-04,BABA,2023-04-17,2023-04-26,2023-05-19,95.0,0.3228070175438595,-0.11872529837717526,0.2123364588825427,0.008493458355301709,short,-1,9.975,13.195,2023-04-17
2023-01 -> 2023-03,2023-04,NIO,2023-04-17,2023-04-26,2023-05-19,10.0,0.6038961038961037,-0.10800415675599387,0.2123364588825427,0.008493458355301709,short,-1,1.54,2.4699999999999998,2023-04-17
2023-01 -> 2023-03,2023-04,NVDA,2023-04-17,2023-04-26,2023-05-19,27.0,-0.1424474187380496,0.24564358219858068,0.2123364588825427,0.008493458355301709,long,1,26.15,22.425,2023-04-17
2023-01 -> 2023-03,2023-04,COIN,2023-04-17,2023-04-26,2023-05-19,70.0,0.1294294294294295,-0.0499361765942977,0.2123364588825427,0.008493458355301709,short,-1,16.65,18.805,2023-04-17
2023-01 -> 2023-03,2023-04,MARA,2023-04-17,2023-04-26,2023-05-19,11.0,-0.095808383233533,-0.1794069400088076,0.2123364588825427,0.008493458355301709,short,-1,3.34,3.0199999999999996,2023-04-17
2023-01 -> 2023-03,2023-04,NFLX,2023-04-18,2023-04-27,2023-05-19,335.0,-0.4601769911504424,0.30481454925405804,0.2123364588825427,0.008493458355301709,long,1,39.55,21.35,2023-04-18
2023-01 -> 2023-03,2023-04,META,2023-04-18,2023-04-27,2023-05-19,220.0,-0.0502057613168725,0.2450544199456043,0.2123364588825427,0.008493458355301709,long,1,24.3,23.08,2023-04-18
2023-01 -> 2023-03,2023-04,MARA,2023-04-18,2023-04-27,2023-05-19,12.0,-0.0623229461756374,-0.0695889806801347,0.2123364588825427,0.008493458355301709,short,-1,3.53,3.31,2023-04-18
2023-01 -> 2023-03,2023-04,BABA,2023-04-18,2023-04-27,2023-05-19,95.0,0.2543535620052768,-0.16602191272259953,0.2123364588825427,0.008493458355301709,short,-1,9.475,11.885,2023-04-18
