ticker,date,exit_date,exdate,strike,strike_key,signal,alpha_call,alpha_put,call_entry_premium,put_entry_premium,call_exit_premium,put_exit_premium,weighted_entry,weighted_exit,trade_profit_w,trade_return_w
AAPL,2023-04-03,2023-04-13,2023-05-05,165.0,165.0,short,0.7955436467389532,0.20445635326104683,6.45,4.55,5.175000000000001,4.175000000000001,11.0,9.084796311916191,1.9152036880838086,0.17410942618943714
AMZN,2023-04-03,2023-04-13,2023-05-05,102.0,102.0,short,0.7312504638274102,0.2687495361725898,5.775,4.75,5.0,4.4,10.525,9.283725952016018,1.2412740479839819,0.11793577653054459
PLTR,2023-04-03,2023-04-13,2023-05-05,8.5,8.5,short,0.4051232248041745,0.5948767751958255,0.48,0.615,0.505,0.385,1.095,0.8744953898771032,0.2205046101228968,0.20137407317159525
TSLA,2023-04-03,2023-04-13,2023-05-05,195.0,195.0,short,0.2538176791422481,0.7461823208577518,14.55,13.7,7.675,16.425,28.25,29.05479849412862,-0.8047984941286188,-0.028488442270039604
AAPL,2023-04-04,2023-04-14,2023-05-05,165.0,165.0,short,0.9075835153365718,0.09241648466342822,6.1,4.9,4.725,4.1,11.0,8.583666772261141,2.4163332277388587,0.21966665706716898
GOOGL,2023-04-04,2023-04-14,2023-05-05,105.0,105.0,short,0.8937754876521916,0.10622451234780839,4.65,4.5,6.525,2.3099999999999996,9.15,11.97458132394164,-2.82458132394164,-0.3086974124526382
MARA,2023-04-04,2023-04-14,2023-05-05,8.5,8.5,short,0.3274145929024684,0.6725854070975317,1.135,1.255,3.7,0.28500000000000003,2.3899999999999997,2.9159941743660287,-0.525994174366029,-0.2200812445046147
NIO,2023-04-04,2023-04-14,2023-05-05,9.0,9.0,short,0.4044046167487245,0.5955953832512755,0.865,0.605,0.6799999999999999,0.4,1.47,1.046192425443059,0.42380757455694096,0.28830447248771496
SOFI,2023-04-04,2023-04-14,2023-05-05,6.0,6.0,short,0.7261350436611934,0.2738649563388066,0.395,0.485,0.42,0.49,0.88,0.9229275125145856,-0.0429275125145856,-0.048781264221119995
TSLA,2023-04-04,2023-04-14,2023-05-05,192.5,192.5,short,0.23921572823031353,0.7607842717696864,14.425,13.6,7.775,14.775,28.025,26.776481458004532,1.248518541995466,0.044550170990025555
